zipcode,count
10013,10
10014,12
10015,27
10016,9
10017,7
10018,12
10019,8
10020,15
10021,8
10022,10
10023,12
10024,7
10025,10
10026,0
10027,16
10028,4
10029,20
10030,7
10031,22
10032,3
10033,12
10034,9
10035,23
10036,11
10037,19
10038,12
10039,20
10040,20
10041,4
10044,1
10045,2
10048,1
10055,0
10060,21
10069,8
10090,10
10095,0
10098,13
10099,13
10103,15
10104,14
10105,1
10106,11
10107,2
10110,9
10111,11
10112,12
10115,3
10118,1
10119,6
10120,21
10121,14
10122,3
10123,4
10128,10
10151,14
10152,0
10153,3
10154,12
10155,49
10158,5
10161,4
10162,0
10165,1
10166,1
10167,1
10168,8
10169,0
10170,8
10171,1
10172,2
10173,8
