zipcode,num_res
10001,1751
10002,1278
10003,1619
10004,584
10005,396
10006,84
10007,372
10009,3377
10010,211
10011,1532
10012,3961
10013,1389
10014,1117
10015,875
10016,1832
10017,1893
10018,2108
10019,1580
10020,207
10021,672
10022,1443
10023,382
10024,348
10025,938
10026,83
10027,343
10028,537
10029,341
10030,57
10031,248
10032,162
10033,108
10034,155
10035,294
10036,2004
10037,232
10038,1187
10039,238
10040,216
10041,41
10044,32
10045,35
10048,28
10055,31
10060,32
10069,151
10090,28
10095,33
10098,420
10099,316
10103,26
10104,79
10105,35
10106,32
10107,55
10110,231
10111,30
10112,86
10115,10
10118,53
10119,172
10120,574
10121,3025
10122,67
10123,55
10128,481
10151,413
10152,28
10153,35
10154,641
10155,968
10158,35
10161,136
10162,23
10165,60
10166,51
10167,47
10168,44
10169,41
10170,620
10171,25
10172,42
10173,7
10174,2485
10175,674
10176,37
10177,687
10178,553
10199,1027
10270,874
10271,32
10278,18
10279,64
10280,25
10281,12
10282,18
10301,498
10302,184
10303,475
10304,2215
10305,2657
10306,319
10307,76
10308,253
10309,760
10310,583
10311,11
10312,181
10314,1347
10451,169
10452,641
10453,141
10454,114
10455,393
10456,461
10457,482
10458,557
10459,355
10460,491
10461,967
10462,1210
10463,121
10464,224
10465,570
10466,821
10467,1355
10468,178
10469,995
10470,898
10471,814
10472,1147
10473,923
10474,210
10475,791
11004,86
11101,7302
11102,420
11103,478
11104,170
11105,287
11106,441
11109,21
11201,441
11203,537
11204,119
11205,239
11206,280
11207,1684
11208,297
11209,572
11210,91
11211,939
11212,101
11213,163
11214,384
11215,349
11216,280
11217,515
11218,612
11219,721
11220,719
11221,987
11222,319
11223,501
11224,206
11225,261
11226,9398
11228,86
11229,420
11230,502
11231,219
11232,730
11233,563
11234,242
11235,324
11236,213
11237,345
11238,361
11239,45
11241,11
11242,14
11243,13
11249,219
11252,454
11256,24
11351,10
11354,469
11355,452
11356,88
11357,86
11358,401
11359,860
11360,16
11361,146
11362,82
11363,151
11364,217
11365,253
11366,299
11367,274
11368,731
11369,2038
11370,150
11371,2040
11372,482
11373,430
11374,211
11375,435
11377,1038
11378,492
11379,505
11385,535
11411,46
11412,57
11413,52
11414,77
11415,157
11416,377
11417,132
11418,499
11419,146
11420,280
11421,137
11422,2224
11423,55
11426,183
11427,66
11428,75
11429,712
11430,392
11432,428
11433,155
11434,159
11435,166
11436,14
11691,54
11692,53
11693,126
11694,92
11697,164
