feature,importance
Entire home/apt,0.11630761803553268
bathrooms,0.0779808130287367
bedrooms,0.07377123065478608
Apartment,0.06508310755187696
accommodates,0.06024114394235576
Private room,0.05377056164228724
beds,0.05200626225694878
Real Bed,0.04617406911224096
strict_14_with_grace_period,0.045981854044591215
num_res,0.0436191137851168
host_profile_pic,0.04331204824968622
identity_verified,0.04280477066075974
guests_included,0.040797592413642364
hotel_maxprice,0.037399694325719046
number_hotels,0.035761837301520286
hotel_meanprice,0.03573948499276556
hotel_minprice,0.035469397870375535
flexible,0.025990122698994745
moderate,0.018043755407454166
Loft,0.01024909390022039
Serviced apartment,0.006989158104167455
Condominium,0.00627161319311733
House,0.005745901020374938
Townhouse,0.004563795170462086
Resort,0.004094216624765601
super_strict_60,0.0022393696621735857
Shared room,0.0020566153066394217
Hotel,0.0016259969050987791
super_strict_30,0.0012461026404190299
Other,0.0010370184930231466
Futon,0.0007008737581344438
Airbed,0.00047268509024893287
Boutique hotel,0.00043250703036521734
Guest suite,0.00040787181602435743
Pull-out Sofa,0.00038438086305112176
Couch,0.00033168949588136687
Guesthouse,0.0002697247397632728
Aparthotel,0.00015735207110617583
Tent,0.00015412917613537031
Houseboat,8.325780522372432e-05
Bed and breakfast,6.948276816084488e-05
Boat,5.130912592900622e-05
Bungalow,3.786205669451506e-05
Hostel,2.6181965855182175e-05
Timeshare,1.9259140412479004e-05
Villa,1.4468276767620686e-05
Cottage,7.691984573717661e-06
Tiny house,3.8331707119413926e-06
Camper/RV,1.5971802130891596e-06
Cabin,4.797076003249486e-07
Cave,2.5358010350810236e-09
Nature lodge,1.245493619177743e-09
Train,0.0
long_term,0.0
strict,0.0
Castle,0.0
Casa particular (Cuba),0.0
