,Threshold,number of features,accuracy
8,1.105766407791143e-06,49,91.07304694580388
19,0.00014033587494756698,38,90.98694942903752
11,1.7490665480263045e-05,46,90.98694942903752
15,3.3737075118534364e-05,42,90.98241798078665
5,0.0,57,90.95069784303064
9,5.502514818310686e-06,48,90.90538336052202
34,0.006713687597400255,23,90.90538336052202
30,0.002446887736429096,27,90.90085191227116
26,0.000759113255072555,31,90.90085191227116
27,0.0009728189196511743,30,90.84194308500997
32,0.0029487699155708977,25,90.84194308500997
35,0.007403363366969245,22,90.83741163675911
24,0.0004084478666182082,33,90.83288018850824
28,0.001315142079042121,29,90.82381729200652
29,0.0023124798804106585,28,90.8147543955048
23,0.00037162492937744174,34,90.80569149900309
20,0.00032419997304191186,37,90.80116005075222
13,1.916771932342086e-05,44,90.77850280949792
33,0.005958081833634529,24,90.77850280949792
3,0.0,57,90.77850280949792
12,1.9016677558864784e-05,45,90.76943991299619
4,0.0,57,90.76943991299619
37,0.010220072141493054,20,90.75584556824361
6,0.0,57,90.75584556824361
14,3.070169836587077e-05,43,90.74678267174188
16,9.733252911775625e-05,41,90.73771977524017
7,0.0,57,90.73771977524017
22,0.00034965666012894836,35,90.72865687873845
31,0.002666432317718015,26,90.72865687873845
10,1.1746242377961494e-05,47,90.72412543048758
36,0.007652425178392033,21,90.71959398223672
1,0.0,57,90.70146818923328
25,0.0006048179381884457,32,90.69240529273156
38,0.01621154375712398,19,90.68787384448069
21,0.0003479326580268147,36,90.67881094797897
17,9.923000565552378e-05,40,90.67427949972812
18,0.00012781932378077518,39,90.67427949972812
0,0.0,57,90.65162225847381
2,0.0,57,90.60177632771433
39,0.02521368261239324,18,90.42504984593076
45,0.04452718155907241,12,90.4205183976799
44,0.04426685344584779,13,90.32988943266268
41,0.03652189509238556,16,90.26191770889976
43,0.04043040332452445,14,90.24832336414718
42,0.038587574159065795,15,90.22113467464202
46,0.044560266886013986,11,89.91299619358347
40,0.03549723908359449,17,89.89487040058003
47,0.04615602677246318,10,88.63059633858981
48,0.046854709145649,9,88.59434475258293
49,0.0473111837910325,8,88.06416530723219
50,0.047965518333335073,7,86.84067427949972
51,0.04967301737406976,6,85.20029001268806
52,0.05860722167861637,5,83.89070146818923
53,0.07039171763525146,4,80.89088272611927
54,0.07398128029465548,3,76.22802247598332
55,0.07791612946596335,2,69.48069603045133
56,0.10094741524882404,1,68.67409824179808
